id,weighted_cosine,fc_sim,bn_sim,logit_corr,agreement,noise_logit,loss_corr
0,0.27428308,-0.14154837,0.25148237,0.5983794,0.51904296875,0.5924731,0.29220507967090514
1,0.21681921,-0.13325828,0.09117505,0.14306743,0.03466796875,0.35559943,0.11904097803762356
2,0.5422017,0.436167,0.35250384,0.8780002,0.7890625,0.49451327,0.36879632193895245
3,0.41640073,0.11834976,0.36562374,0.6917251,0.603515625,0.52555776,0.2892224147996747
4,0.59424424,0.4983614,0.7284548,1.0,1.0,1.0,0.9999999992582534
5,0.9710995,0.970999,0.9420275,0.87696624,0.7685546875,0.72536147,0.41006592415905313
6,0.5499554,0.44300628,0.43088317,0.8774816,0.79443359375,0.54354995,0.35302888223952755
7,0.23997076,-0.024335742,0.099211365,0.3835148,0.14013671875,0.21879043,0.10322005515927092
8,0.85914016,0.6478503,1.0,0.98778594,0.95751953125,0.9795906,0.9337557293659138
9,0.8986186,0.84552014,0.85455704,0.8585012,0.787109375,0.66389614,0.41348197555706684
10,0.23122033,-0.09815788,0.109953105,0.17870054,0.08984375,0.16440697,0.17117205037208552
11,0.29043403,-0.04219556,0.2025798,0.65331644,0.3505859375,0.63354695,0.17524474206479737
12,0.28812644,-0.06646997,0.18812051,0.5174805,0.3828125,0.5246655,0.2473779380476424
13,0.515332,0.35616294,0.42068952,0.80834377,0.7568359375,0.19987836,0.3121496865736437
14,0.90459085,0.7614771,1.0,0.9937612,0.97021484375,0.98900187,0.9548673480737718
15,0.2881336,-0.08887231,0.22505519,0.7210073,0.48046875,0.66244406,0.23565627411831597
16,0.47711855,0.24871963,0.42087704,0.8269881,0.78662109375,0.5434306,0.4087233980148053
17,0.33863157,-0.062253773,0.45255497,0.73899984,0.77734375,0.3107407,0.18592989233898466
18,0.27115512,0.021714509,0.075859606,0.38306522,0.19189453125,0.2515772,0.18512780666117384
19,0.31200686,-0.13156077,0.40758604,0.9199082,0.818359375,0.71322656,0.7412144565687544
20,0.24999876,-0.00795272,0.10807723,0.3611524,0.1162109375,0.4295951,0.06638997543874398
21,0.99333405,0.99751043,0.9974906,0.9703522,0.876953125,0.72299814,0.6376153174871404
22,0.9938662,0.99809265,0.9974339,0.962104,0.84033203125,0.855459,0.6424301634096489
23,0.33741724,-0.059652895,0.43209082,0.82425505,0.67333984375,0.5371952,0.3281359610019392
24,0.9409744,0.8808495,0.9876206,0.940032,0.833984375,0.76730335,0.5202329521419874
25,0.94118166,0.8911946,0.9871136,0.91884303,0.7978515625,0.8520287,0.5199126114984511
26,0.95394254,0.9126934,0.9880998,0.927552,0.8076171875,0.8237539,0.5368786251114064
27,0.3239375,-0.0907515,0.3135481,0.639313,0.5703125,0.5785277,0.34059422190670563
28,0.99452424,0.99583924,0.9971348,0.96784735,0.86767578125,0.8967576,0.6081902295840923
29,0.9554292,0.91639763,0.9880055,0.91682434,0.794921875,0.9179522,0.5483896921409607
30,0.5327445,0.4174944,0.37744623,0.8797741,0.791015625,0.49147463,0.381918367607041
31,0.5385792,0.4209708,0.46157682,0.8635412,0.79833984375,0.42761254,0.3044792536069469
32,0.3358441,-0.0111961365,0.25266132,0.7941284,0.751953125,0.49172908,0.44972923414215094
